id,ew,ns,age,SES,pf
1,-1.5781,1.17658,5,1.75493,14.1627
1,-1.5781,1.17658,5,1.75493,11.7047
1,-1.5781,1.17658,5,1.75493,11.6264
2,0.33858,0.03604,6,0.89417,10.121
2,0.33858,0.03604,6,0.89417,9.4262
2,0.33858,0.03604,6,0.89417,9.1295
3,-0.20866,-0.49148,8,1.04541,11.354
3,-0.20866,-0.49148,8,1.04541,10.4302
3,-0.20866,-0.49148,8,1.04541,11.3359
4,-0.27945,-0.23117,5,0.20587,11.2469
4,-0.27945,-0.23117,5,0.20587,11.4126
4,-0.27945,-0.23117,5,0.20587,8.2417
5,0.77961,-0.278,3,0.38855,9.1392
5,0.77961,-0.278,3,0.38855,8.4367
5,0.77961,-0.278,3,0.38855,10.0692
6,0.09659,-1.85172,4,-1.37711,11.0727
6,0.09659,-1.85172,4,-1.37711,9.6943
6,0.09659,-1.85172,4,-1.37711,10.3257
7,-1.3863,1.91921,5,-1.68934,9.0176
7,-1.3863,1.91921,5,-1.68934,8.9825
7,-1.3863,1.91921,5,-1.68934,8.3574
8,-0.24277,0.5231,4,-0.29463,9.6823
8,-0.24277,0.5231,4,-0.29463,10.1275
8,-0.24277,0.5231,4,-0.29463,9.1788
9,-0.67724,0.76798,7,0.50043,12.1277
9,-0.67724,0.76798,7,0.50043,10.8989
9,-0.67724,0.76798,7,0.50043,11.6573
10,0.72865,-0.34236,4,0.20473,10.1936
10,0.72865,-0.34236,4,0.20473,10.1539
10,0.72865,-0.34236,4,0.20473,9.4415
11,-0.72403,-0.77562,5,1.20905,11.2628
11,-0.72403,-0.77562,5,1.20905,11.8197
11,-0.72403,-0.77562,5,1.20905,11.6624
12,-1.14599,-0.30939,6,1.1525,10.8294
12,-1.14599,-0.30939,6,1.1525,12.1217
12,-1.14599,-0.30939,6,1.1525,11.1468
13,0.40268,-0.26643,4,0.67623,10.4728
13,0.40268,-0.26643,4,0.67623,13.0021
13,0.40268,-0.26643,4,0.67623,10.8223
14,-0.28059,-2.03411,5,-0.42696,10.3235
14,-0.28059,-2.03411,5,-0.42696,9.5265
14,-0.28059,-2.03411,5,-0.42696,10.5075
