loan_date,payment_amt,default_date,credit_score
1054,220,2927,126
1543,145,,632
644,151,697,775
2882,131,2605,258
1251,233,2568,11
3611,198,2905,473
1406,248,2640,680
1425,250,,295
3227,242,3246,779
3106,248,,110
204,190,,419
2924,150,,14
2177,110,,381
511,101,,748
1718,227,3604,684
1780,160,2123,42
2782,104,2762,176
3287,123,2801,103
813,154,2930,408
1380,211,1850,490
1981,169,,781
3575,133,2626,447
1043,169,,610
1034,242,,153
298,197,927,370
330,120,3168,55
3080,134,,518
2485,179,,285
1908,137,2827,445
187,117,3026,616
2048,122,3096,403
2985,192,3122,507
944,199,1347,671
425,203,2735,204
1069,109,1266,585
1235,132,2977,4
2674,161,,412
3481,197,,142
2435,118,,740
521,166,,735
1803,195,3232,103
3191,200,2924,16
1119,197,3008,721
2025,243,,215
2033,151,,87
3534,164,,153
2412,218,,376
1515,134,,157
576,218,3166,627
2071,194,2918,724
2693,179,,266
2079,142,2562,440
3618,189,,507
684,191,2748,134
359,165,1250,279
1924,115,,341
1858,131,3168,407
3300,201,2922,38
3155,212,,628
2804,185,,665
465,192,2988,663
3587,200,2838,756
2353,225,2482,562
55,109,220,737
316,113,3181,686
2731,114,2994,524
2379,229,2682,790
3173,148,3186,263
960,113,2425,602
193,234,,115
2336,242,3244,577
1942,174,2815,626
1145,234,,111
3266,151,,126
1943,183,2635,601
1433,152,3268,584
2684,213,2601,748
2845,178,,152
1231,151,2028,735
1919,198,,74
2108,186,2902,558
355,121,665,112
2015,133,2080,545
912,156,2544,574
3517,197,,690
331,104,3362,697
2669,246,,175
1021,246,2780,627
3647,189,,761
2167,112,3482,642
977,235,1821,235
1071,231,2903,108
1593,178,2649,23
1452,240,1992,507
809,245,2254,456
2747,190,3035,582
1057,144,3258,355
2880,226,3003,217
994,128,3284,56
1443,184,1964,516
