"","w","x","y","slide.no"
"1",NA,5.52021,5.47155,"slide1"
"2",NA,5.06713,3.10426,"slide1"
"3",NA,3.16562,3.36531,"slide1"
"4",NA,1.9131,2.24462,"slide1"
"5",NA,5.9501,2.26286,"slide1"
"6",NA,3.39683,4.28819,"slide1"
"7",NA,2.12481,3.1612,"slide1"
"8",NA,4.19006,3.1582,"slide1"
"9",NA,3.17586,5.67528,"slide1"
"10",NA,4.02505,5.0187,"slide1"
"11",NA,3.21331,2.29831,"slide1"
"12",NA,5.38814,4.53857,"slide1"
"13",NA,1.89914,5.19982,"slide1"
"14",NA,3.50073,4.85568,"slide1"
"15",NA,5.43058,3.34797,"slide1"
"16",NA,3.51835,5.84593,"slide1"
"17",NA,2.05568,3.64204,"slide1"
"18",NA,2.56336,4.14641,"slide1"
"19",NA,4.56881,2.63817,"slide1"
"20",NA,3.70469,3.82079,"slide1"
"21",NA,3.91497,3.95238,"slide1"
"22",NA,4.25161,2.27778,"slide1"
"23",NA,2.06946,3.16267,"slide1"
"24",NA,4.63918,3.18893,"slide1"
"25",NA,5.7117,1.60018,"slide1"
"26",NA,3.99091,5.94862,"slide1"
"27",NA,2.63377,2.50765,"slide1"
"28",NA,3.41832,4.38688,"slide1"
"29",NA,2.96556,3.92102,"slide1"
"30",NA,3.81656,4.35251,"slide1"
"31",NA,2.10108,4.9959,"slide1"
"32",NA,4.6689,3.99065,"slide1"
"33",NA,4.55973,3.03481,"slide1"
"34",NA,2.85215,1.94997,"slide1"
"35",NA,3.11209,5.52715,"slide1"
"36",NA,5.00977,3.81172,"slide1"
"37",NA,4.42523,2.84788,"slide1"
"38",NA,3.87996,4.60872,"slide1"
"39",NA,1.25917,1.75215,"slide1"
"40",NA,1.75892,3.1893,"slide1"
"41",NA,4.24866,4.86549,"slide1"
"42",NA,1.3131,2.39324,"slide1"
"43",NA,3.14914,2.81666,"slide1"
"44",NA,5.80619,4.85599,"slide1"
"45",NA,1.30899,2.28042,"slide1"
"46",NA,3.96734,3.43466,"slide1"
"47",NA,1.22012,2.68113,"slide1"
"48",NA,3.46367,3.48596,"slide1"
"49",NA,4.48598,4.01198,"slide1"
"50",NA,1.91268,3.57452,"slide1"
"51",NA,2.83856,5.9958,"slide1"
"52",NA,4.12834,3.71387,"slide1"
"53",NA,3.45754,4.06019,"slide1"
"54",NA,2.60151,2.9402,"slide1"
"55",NA,2.89893,5.62479,"slide1"
"56",NA,5.75255,4.11077,"slide1"
"57",NA,1.12023,1.88307,"slide1"
"58",NA,4.81337,3.75579,"slide1"
"59",NA,4.42957,3.04165,"slide1"
"60",NA,1.73265,3.14631,"slide1"
"61",NA,5.95726,2.20798,"slide1"
"62",NA,3.38732,3.58007,"slide1"
"63",NA,3.53354,3.14443,"slide1"
"64",NA,3.66112,4.93595,"slide1"
"65",NA,5.64187,3.74647,"slide1"
"66",NA,2.61135,4.80589,"slide1"
"67",NA,5.49613,3.38157,"slide1"
"68",NA,2.88881,1.84559,"slide1"
"69",NA,4.23143,5.30702,"slide1"
"70",NA,3.59323,1.49435,"slide1"
"71",NA,2.29152,0.7323,"slide1"
"72",NA,5.3995,2.97491,"slide1"
"73",NA,2.93879,3.93627,"slide1"
"74",NA,5.7274,3.51182,"slide1"
"75",NA,2.60691,3.93076,"slide1"
"76",NA,3.13101,3.94461,"slide1"
"77",NA,1.24282,0.18109,"slide1"
"78",NA,4.6559,4.06217,"slide1"
"79",NA,3.31458,2.90053,"slide1"
"80",NA,4.49612,2.98263,"slide1"
"81",NA,2.52741,2.32071,"slide1"
"82",NA,3.81186,2.96426,"slide1"
